First Dataset	Second Dataset	pvalue	qvalue
Ver_Verrucomicrobiaceae_Akkermansia_7b70	Acetate	nan	0.002737428815604431
Ver_Verrucomicrobiaceae_Akkermansia_7b70	Propionate	nan	0.002737428815604431
Ver_Verrucomicrobiaceae_Akkermansia_7b70	Succinate	nan	0.002737428815604431
Ver_Verrucomicrobiaceae_Akkermansia_7b70	Galactonate	nan	0.002737428815604431
Ver_Verrucomicrobiaceae_Akkermansia_7b70	Phenylacetate	nan	0.002737428815604431
Ver_Verrucomicrobiaceae_Akkermansia_7b70	Glutamate	nan	0.002737428815604431
Ver_Verrucomicrobiaceae_Akkermansia_7b70	Glutamine	nan	0.002737428815604431
Ver_Verrucomicrobiaceae_Akkermansia_7b70	Glycine	nan	0.002737428815604431
Ver_Verrucomicrobiaceae_Akkermansia_7b70	Arabinose	nan	0.002737428815604431
Ver_Verrucomicrobiaceae_Akkermansia_7b70	Galactose	nan	0.002737428815604431
Ver_Verrucomicrobiaceae_Akkermansia_7b70	Xylose	nan	0.002737428815604431
Ver_Verrucomicrobiaceae_Akkermansia_7b70	Sucrose	nan	0.002737428815604431
Ver_Verrucomicrobiaceae_Akkermansia_7b70	Fructose	nan	0.002737428815604431
Ver_Verrucomicrobiaceae_Akkermansia_7b70	Hypoxanthine	nan	5.549537490710978e-05
Ver_Verrucomicrobiaceae_Akkermansia_7b70	Uracil	nan	5.549537490710978e-05
Bac_Bacteroidaceae_Bacteroides_831d	Propionate	nan	0.009029845961681875
Bac_Bacteroidaceae_Bacteroides_831d	Xylose	nan	0.025325879603870824
Bac_Bacteroidaceae_Bacteroides_831d	Hypoxanthine	nan	5.549537490710978e-05
Bac_Bacteroidaceae_Bacteroides_831d	Uracil	nan	5.549537490710978e-05
Fir_Lachnospiraceae_NA_634c	Alanine	nan	0.0536794151993665
Fir_Lachnospiraceae_Blautia_d42e	Acetate	nan	0.08542561643391718
Fir_Lachnospiraceae_Blautia_d42e	Galactonate	nan	0.09085653936884173
Fir_Lachnospiraceae_Blautia_d42e	Isobutyrate	nan	0.034369958163691365
Fir_Lachnospiraceae_Blautia_d42e	Glutamate	nan	0.037804341481570275
Fir_Lachnospiraceae_Blautia_d42e	Isoleucine	nan	0.007304859985867527
Fir_Lachnospiraceae_Blautia_d42e	Leucine	nan	0.007304859985867527
Fir_Lachnospiraceae_Blautia_d42e	Methionine	nan	0.05759106688588663
Fir_Lachnospiraceae_Blautia_d42e	Phenylalanine	nan	0.007304859985867527
Fir_Lachnospiraceae_Blautia_d42e	Tyrosine	nan	0.007304859985867527
Fir_Lachnospiraceae_Blautia_d42e	Valine	nan	0.007304859985867527
Fir_Lachnospiraceae_Blautia_d42e	Fructose	nan	0.04742677249669783
Fir_Lachnospiraceae_NA_f01d	Acetate	nan	0.037804341481570275
Fir_Lachnospiraceae_NA_f01d	Propionate	nan	0.002737428815604431
Fir_Lachnospiraceae_NA_f01d	Galactonate	nan	0.002737428815604431
Fir_Lachnospiraceae_NA_f01d	Glutamate	nan	0.007304859985867527
Fir_Lachnospiraceae_NA_f01d	Glutamine	nan	0.08683279615696154
Fir_Lachnospiraceae_NA_f01d	Isoleucine	nan	0.04964233476881226
Fir_Lachnospiraceae_NA_f01d	Leucine	nan	0.04964233476881226
Fir_Lachnospiraceae_NA_f01d	Methionine	nan	0.05759106688588663
Fir_Lachnospiraceae_NA_f01d	Tyrosine	nan	0.04964233476881226
Fir_Lachnospiraceae_NA_f01d	Sucrose	nan	0.03432195407739466
Fir_Lachnospiraceae_NA_f01d	Fructose	nan	0.03432195407739466
Fir_Ruminococcaceae_Anaerotruncus_0fa0	Acetate	nan	0.05759106688588663
Fir_Ruminococcaceae_Anaerotruncus_0fa0	Propionate	nan	0.09500495302399477
Fir_Ruminococcaceae_Anaerotruncus_0fa0	Glutamate	nan	0.019967852286971434
Fir_Ruminococcaceae_Anaerotruncus_0fa0	Isoleucine	nan	0.04964233476881226
Fir_Ruminococcaceae_Anaerotruncus_0fa0	Leucine	nan	0.04964233476881226
Bac_S24-7_uncultured_1282	Propionate	nan	0.05795451873439398
Bac_S24-7_uncultured_1282	Uracil	nan	0.08542561643391718
Fir_Lachnospiraceae_NA_5e80	Acetate	nan	0.09095502304361168
Fir_Lachnospiraceae_NA_5e80	Propionate	nan	0.06898564595313109
Fir_Lachnospiraceae_NA_6a2f	Lactate	nan	0.0959575375925034
Fir_Lachnospiraceae_NA_6a2f	Fructose	nan	0.0639767110757946
Bac_S24-7_NA_b06d	Lysine	nan	0.008365131627540049
Bac_Bacteroidaceae_Bacteroides_ef89	Lactate	nan	0.07020050485434678
Bac_Bacteroidaceae_Bacteroides_ef89	Alanine	nan	0.069070049828473
